,ResortName,Place,room,bed,Condition,Price,Rating,TotalReviews
29310,Verona Lanta Resort,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,US$40,9.7,78 reviews
29312,Karinthip Village,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$50,8.7,8 reviews
29313,MRK Resort & Massage,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,US$22,8.7,38 reviews
29314,Sakthong Resort,Sawankhalok,Standard Queen Room,1 large double bed,Good,US$16,7.9,10 reviews
29315,The Siam Residence Boutique Resort,Lipa Noi,Villa with Partial Garden View,Entire villa • 1 bedroom • 1 bathroom • 861.1feet²1 extra-large double bed,Fabulous,US$95,8.8,26 reviews
29316,El Vaso Resort,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,US$64,9.1,21 reviews
29317,Lanta Riviera Resort - SHA Extra Plus,"Klong Khong Beach, Ko Lanta",Superior Double Room,1 large double bed,Good,US$29,7.7,267 reviews
29318,The Passion Nest - SHA Plus Certified,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,US$33,8.8,288 reviews
29319,Isara Lanta Beach Resort,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,US$24,8.4,107 reviews
29321,Phayam Cottage Resort,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,US$41,7.8,45 reviews
29322,Samed sand sea resort,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,US$42,7.8,144 reviews
29324,Amora Beach Resort Phuket - SHA Extra Plus,Bang Tao Beach,Deluxe Double or Twin Room with Pool View,Multiple bed types,Review score,US$129,6.8,98 reviews
29325,Sunrise Resort- Koh Phangan - SHA Extra Plus,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,US$86,6.4,240 reviews
29326,Aonang Hill Krabi-SHA Extra Plus,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,US$82,9.1,729 reviews
29327,Phi Phi Rimlay Resort,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,US$56,7.4,265 reviews
29328,Koh Tao Royal Resort,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,US$41,7.7,168 reviews
29329,Ramada by Wyndham Aonang Krabi,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,US$50,6.3,87 reviews
29331,Smile Resort,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,US$15,6.5,14 reviews
29333,Koh Yao Noi Beach Resort,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,US$38,7.6,41 reviews
29334,Chang Pai Garden,Pai,Standard Queen Room,1 double bed,Good,US$17,7.5,152 reviews
29335,Lacol Khaoyai Hotel,Mu Si,Family Suite,2 double beds,Good,US$433,7.5,39 reviews
29336,"The Pavilions, Phuket - SHA Extra Plus",Bang Tao Beach,Suite with Mountain View,"Private suite2 beds (1 extra-large double, 1 sofa bed)",Very good,US$283,8.5,296 reviews
29339,Mae On Village Resort,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,US$23,8.5,46 reviews
29340,Verona Lanta Resort,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,US$40,9.7,78 reviews
29342,MRK Resort & Massage,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Fabulous,US$21,8.7,38 reviews
29343,Sakthong Resort,Sawankhalok,Standard Queen Room,1 large double bed,Good,US$16,7.9,10 reviews
29344,The Siam Residence Boutique Resort,Lipa Noi,Villa with Partial Garden View,Entire villa • 1 bedroom • 1 bathroom • 861.1feet²1 extra-large double bed,Fabulous,US$95,8.8,26 reviews
29345,El Vaso Resort,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,US$62,9.1,21 reviews
29346,The Passion Nest - SHA Plus Certified,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,US$32,8.8,288 reviews
29347,Isara Lanta Beach Resort,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,US$24,8.4,107 reviews
29348,Green Chilli Bungalows,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,US$16,7.7,50 reviews
29349,Evie Mae Resort,Ban Cha-om,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 extra-large double bed,Good,US$42,7.7,21 reviews
29350,Chomna Resort,Ban Bua Yai,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 large double bed,Exceptional,US$16,9.5,4 reviews
29351,Phuwadee Resort Khao Yai,Nong Sarai,Standard Double Room,1 extra-large double bed,Very good,US$48,8.3,91 reviews
29352,Chanchaolao Beach Resort,Chao Lao Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$46,9,11 reviews
29354,The Silver Palm Wellness Resort,Bangkok,Studio,Entire studio • 1 bathroom • 484.4feet²1 extra-large double bed,Good,US$43,7.9,275 reviews
29355,Jungle Village Bungalow,Ao Nang Beach,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 592feet²1 double bed,Superb,US$68,9,77 reviews
29357,Prangpaya Khaoyai,Pak Chong,Deluxe King Room,1 extra-large double bed,Superb,US$110,9.1,34 reviews
29359,Phayam Cottage Resort,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,US$39,7.8,45 reviews
29360,Samed sand sea resort,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,US$40,7.8,144 reviews
29362,Sunrise Resort- Koh Phangan - SHA Extra Plus,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,US$83,6.4,240 reviews
29363,Shafa Resort,Mae Sot,Double Room with Garden View,1 large double bed,Review score,US$16,6.9,28 reviews
29364,Phi Phi Rimlay Resort,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,US$56,7.4,265 reviews
29365,Koh Tao Royal Resort,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,US$41,7.7,168 reviews
29366,Anantara Riverside Bangkok Resort - SHA Plus Certified,"Thonburi, Bangkok",Deluxe Room,Multiple bed types,Fabulous,US$202,8.9,592 reviews
29368,Aonang Hill Krabi-SHA Extra Plus,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,US$82,9.1,729 reviews
29369,Smile Resort,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,US$14,6.5,14 reviews
29371,Koh Yao Noi Beach Resort,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,US$37,7.6,41 reviews
29372,Chang Pai Garden,Pai,Standard Queen Room,1 double bed,Good,US$17,7.5,152 reviews
29373,Lacol Khaoyai Hotel,Mu Si,Family Suite,2 double beds,Good,US$415,7.5,39 reviews
29375,"Maikhao Dream Villa Resort and Spa, Centara Boutique Collection - SHA Extra Plus",Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,"US$2,012",8.2,47 reviews
29377,Palm Paradise Resort,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,US$40,6.8,150 reviews
29378,Verona Lanta Resort,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,US$40,9.7,78 reviews
29380,Karinthip Village,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$46,8.7,8 reviews
29381,Bananas Resort & Restaurant,Tha Lane Bay,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Superb,US$9,9,45 reviews
29382,MRK Resort & Massage,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Fabulous,US$20,8.7,38 reviews
29384,Sakthong Resort,Sawankhalok,Standard Queen Room,1 large double bed,Good,US$16,7.9,10 reviews
29385,Angsana Laguna Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",Laguna Room,Multiple bed types,Very good,US$425,8.2,381 reviews
29386,Amaresa Resort & Sky Bar - experience nature,Haad Rin,Ocean View Superior (Upper Unit),Entire bungalow • 1 bedroom • 1 bathroom • 344.4feet²2 single beds,Review score,US$63,6.5,85 reviews
29387,Beluga Boutique Hotel,Lamai,Double Room with Sea View - Second Floor,1 large double bed,Superb,US$131,9.1,113 reviews
29388,The Boutique Khanom,Khanom,Standard Double or Twin Room with Sea View,"3 beds (2 singles, 1 double)",Good,US$60,7.3,26 reviews
29389,Bayview Hill Resort,"Ko Lipe Sunset Beach, Ko Lipe",Seaview Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 extra-large double bed,Good,US$91,7.7,248 reviews
29390,Chareena Beachside,"Ko Lipe Pattaya Beach, Ko Lipe",Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 172.2feet²1 large double bed,Good,US$99,7.5,90 reviews
29393,Gardenhomeresortkohjum,Ko Jum,Deluxe Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Fabulous,US$14,8.8,34 reviews
29394,Renaissance Koh Samui Resort & Spa,"Thong Takian, Lamai",Deluxe Garden Room,1 extra-large double bed,Superb,US$214,9.2,89 reviews
29396,PAI LAMUN VALLEY,Pai,Double Room with Private External Bathroom and Shared Living Room,1 double bed,Very good,US$29,8.1,61 reviews
29397,ลิตเติ้ลโฮม ที่พักเพชรบุรี,Phetchaburi,Queen Room,1 large double bed,Exceptional,US$18,10,1 review
29398,Tungtong Beach Villas,Ban Khao Khwang (2),King Suite with Sea View,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 592feet²2 beds (1 sofa bed, 1 large double)",Very good,US$114,8.4,54 reviews
29401,Suanya Kohkood Resort and Spa,"Ao Yai Ki, Ko Kood",Budget Double Room,1 double bed,Review score,US$50,6.6,20 reviews
29403,"Nipa Resort, Patong Beach - SHA Extra Plus",Patong Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Very good,US$149,8.3,697 reviews
29404,Onsen Health Spa & Hot Spring Resort,Ban On Luai,Superior King Room,1 large double bed,Review score,US$37,4,2 reviews
29405,Sangthain hills,"Ao Thian, Ko Samed",Standard Double Room with Fan,1 double bed,Review score,US$15,5.9,166 reviews
29407,Siam Lanta Resort,"Klong Nin Beach, Ko Lanta",Deluxe Room,1 extra-large double bed,Superb,US$40,9.1,60 reviews
29408,Khao Sok Hill Top Resort,Khao Sok,Big Tent,Tent1 futon bed,Superb,US$19,9.2,65 reviews
29410,Palmsuay Resort,Ban Dong Klang,Superior Double Room,1 extra-large double bed,Very good,US$24,8,6 reviews
29411,Cape Fahn Hotel Samui - SHA Plus Certified,Choeng Mon Beach,Tropical Two-bedroom Pool Villa,"Entire villa • 2 bedrooms • 1 living room • 1 bathroom • 6,243.1feet²3 beds (2 singles, 1 large double)",Exceptional,"US$1,724",9.9,7 reviews
29412,The Peri Hotel Hua Hin - SHA PLUS,Hua Hin,Deluxe Twin Room,2 single beds,Very good,US$94,8.4,159 reviews
29413,MAGMAI HOMESTAY & TOWER,Tak,Large Double Room,1 large double bed,Very good,US$26,8,22 reviews
29414,Andaman Beach Resort Koh Jum,Ko Jum,Family Room with Terrace,"3 beds (1 single, 1 sofa bed, 1 large double)",Good,US$45,7.6,39 reviews
29415,Chomdao Baan Manisa,Khiriwong,Queen Room with Reservoir View,1 large double bed,Very good,US$39,8.4,8 reviews
29416,Pine Bungalow Krabi,Klong Muang Beach,Standard Bungalow with Fan (near street),Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,US$11,8.1,157 reviews
29417,Chaolao Cabana Resort,Chao Lao Beach,Deluxe Twin Room with Pool View,2 single beds,Good,US$108,7.8,19 reviews
29418,Saree Samui,Mae Nam,Tropical Villa,Entire villa • 1 bedroom • 1 bathroom • 990.3feet²1 double bed,Fabulous,US$189,8.8,45 reviews
29422,Sabai Resort,"Nopparat Thara Beach, Ao Nang Beach",Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 large double bed,Very good,US$46,8,140 reviews
29423,Phuchifa Faedviewresort,Ban Huai Han,King Room with Mountain View,1 large double bed,,US$34,,
29424,Nisasiri Boutique Resort,Laem Sing,Comfort Double or Twin Room,Beds: 1 double or 2 singles,Good,US$40,7.2,24 reviews
29425,Veranda Lanta Resort,"Klong Nin Beach, Ko Lanta",Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 extra-large double bed,Very good,US$36,8.4,52 reviews
29428,Tubtao Sleepy Hill,Pong Talong,Standard King Room,1 extra-large double bed,Exceptional,US$57,9.5,60 reviews
29429,Baan Kung Kang De Pai,Pai,Cutie Twin Room,2 single beds,Good,US$28,7.8,154 reviews
29430,Lotus Paradise Resort - SHA PLUS,"Sairee Beach, Koh Tao",Suite with Sea View,Private suite1 large double bed,Good,US$67,7.5,202 reviews
29431,Thai House Beach Resort,"Phra Ae Beach, Ko Lanta",Double Room with Garden View,1 double bed,Fabulous,US$57,8.9,103 reviews
29432,JR Place,Klong Muang Beach,Twin Room with Pool View,2 single beds,Superb,US$41,9.2,60 reviews
29434,Re-Live Resort,Ban Bang Phra,Deluxe King Room,1 extra-large double bed,Good,US$21,7.8,6 reviews
29435,Siwasom Resort Sakon Nakhon,Sakon Nakhon,Deluxe Double Room,1 extra-large double bed,Good,US$30,7.6,14 reviews
29436,Cliff Lanta Suite-Koh Lanta Krabi,"Klong Nin Beach, Ko Lanta",Deluxe King Suite,Private suite1 large double bed,Superb,US$129,9.1,14 reviews
29438,Frog Beach House,"Aow Yai Beach, Ko Phayam",Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Good,US$39,7.7,54 reviews
29439,Lux Family Villas - SHA Extra Plus,Ao Nang Beach,Villa with Private Pool,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 710.4feet²3 beds (1 sofa bed, 2 large doubles)",Superb,US$140,9.3,293 reviews
29440,Avalon Beach Resort,"Dongtan Beach, Pattaya South",Superior Double or Twin Room with Pool View,1 large double bed,Very good,US$74,8,172 reviews
29441,Whalecome Aonang Resort-SHA Extra Plus,Ao Nang Beach,Deluxe Twin Room with Balcony,2 single beds,Fabulous,US$54,8.9,552 reviews
29442,B52 Beach Resort,Thongsala,Villa,Entire villa • 1 bedroom • 1 bathroom • 215.3feet²1 large double bed,Review score,US$77,6.7,112 reviews
29443,Irak Resort Ao Manao,Klong Wan,King Room with Mountain View,1 extra-large double bed,Good,US$17,7.9,35 reviews
